no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,total_assets,loan_income_ratio,asset_coverage_ratio,income_per_dependent,wealth_cibil_score,loan_status
2,1,0,9600000,29900000,12,778,50700000.0,3.1145833333333335,1.6956521739130435,3200000.0,39444600000.0,1
0,0,1,4100000,12200000,8,417,17000000.0,2.975609756097561,1.3934426229508197,4100000.0,7089000000.0,0
3,1,0,9100000,29700000,20,506,57700000.0,3.2637362637362637,1.9427609427609427,2275000.0,29196200000.0,0
3,1,0,8200000,30700000,8,467,52700000.0,3.7439024390243905,1.716612377850163,2050000.0,24610900000.0,0
5,0,1,9800000,24200000,20,382,55000000.0,2.4693877551020407,2.272727272727273,1633333.3333333333,21010000000.0,0
0,1,1,4800000,13500000,10,319,33900000.0,2.8125,2.511111111111111,4800000.0,10814100000.0,0
5,1,0,8700000,33000000,4,678,70800000.0,3.793103448275862,2.1454545454545455,1450000.0,48002400000.0,1
2,1,1,5700000,15000000,20,382,36700000.0,2.6315789473684212,2.4466666666666668,1900000.0,14019400000.0,0
0,1,1,800000,2200000,20,782,5500000.0,2.75,2.5,800000.0,4301000000.0,1
5,0,0,1100000,4300000,10,388,9500000.0,3.909090909090909,2.2093023255813953,183333.33333333334,3686000000.0,0
4,1,1,2900000,11200000,2,547,25400000.0,3.8620689655172415,2.267857142857143,580000.0,13893800000.0,1
2,0,1,6700000,22700000,18,538,47900000.0,3.388059701492537,2.1101321585903086,2233333.3333333335,25770200000.0,0
3,0,1,5000000,11600000,16,311,34900000.0,2.32,3.0086206896551726,1250000.0,10853900000.0,0
2,1,1,9100000,31500000,14,679,53300000.0,3.4615384615384617,1.692063492063492,3033333.3333333335,36190700000.0,1
1,0,0,1900000,7400000,6,469,10900000.0,3.8947368421052633,1.472972972972973,950000.0,5112100000.0,0
5,0,0,4700000,10700000,10,794,30400000.0,2.276595744680851,2.8411214953271027,783333.3333333334,24137600000.0,1
2,1,1,500000,1600000,4,663,3400000.0,3.2,2.125,166666.66666666666,2254200000.0,1
4,0,1,2900000,9400000,14,780,16700000.0,3.2413793103448274,1.7765957446808511,580000.0,13026000000.0,1
2,1,0,2700000,10300000,10,736,10500000.0,3.814814814814815,1.0194174757281553,900000.0,7728000000.0,1
5,1,0,6300000,14600000,12,652,43200000.0,2.3174603174603177,2.958904109589041,1050000.0,28166400000.0,1
2,1,0,5000000,19400000,12,315,35200000.0,3.88,1.8144329896907216,1666666.6666666667,11088000000.0,0
4,1,0,5800000,14000000,16,530,42700000.0,2.413793103448276,3.05,1160000.0,22631000000.0,0
4,1,1,6500000,25700000,18,311,42800000.0,3.953846153846154,1.6653696498054475,1300000.0,13310800000.0,0
0,0,1,500000,1400000,2,551,2900000.0,2.8,2.0714285714285716,500000.0,1597900000.0,1
0,0,0,4900000,9800000,16,324,25800000.0,2.0,2.63265306122449,4900000.0,8359200000.0,0
5,0,0,3100000,9500000,20,514,20200000.0,3.064516129032258,2.126315789473684,516666.6666666667,10382800000.0,0
4,1,0,8200000,28100000,12,696,54600000.0,3.426829268292683,1.9430604982206405,1640000.0,38001600000.0,1
4,0,1,2400000,5600000,4,662,16600000.0,2.3333333333333335,2.9642857142857144,480000.0,10989200000.0,1
5,0,1,7000000,24000000,6,336,51400000.0,3.4285714285714284,2.1416666666666666,1166666.6666666667,17270400000.0,0
3,0,1,9000000,31500000,10,850,75900000.0,3.5,2.4095238095238094,2250000.0,64515000000.0,1
2,0,0,9800000,25300000,12,313,60200000.0,2.5816326530612246,2.3794466403162056,3266666.6666666665,18842600000.0,0
2,1,0,5700000,12000000,6,363,37000000.0,2.1052631578947367,3.0833333333333335,1900000.0,13431000000.0,0
1,0,1,800000,1600000,10,436,4100000.0,2.0,2.5625,400000.0,1787600000.0,0
5,0,1,8400000,22000000,2,830,33000000.0,2.619047619047619,1.5,1400000.0,27390000000.0,1
3,1,0,4900000,11900000,8,612,35700000.0,2.4285714285714284,3.0,1225000.0,21848400000.0,1
2,1,1,1700000,3400000,8,691,12400000.0,2.0,3.6470588235294117,566666.6666666666,8568400000.0,1
3,0,0,1600000,6200000,18,636,10800000.0,3.875,1.7419354838709677,400000.0,6868800000.0,1
5,1,1,8000000,27200000,6,348,30500000.0,3.4,1.1213235294117647,1333333.3333333333,10614000000.0,0
5,1,0,3600000,7700000,16,830,21200000.0,2.138888888888889,2.7532467532467533,600000.0,17596000000.0,1
3,0,1,1500000,5100000,6,352,6800000.0,3.4,1.3333333333333333,375000.0,2393600000.0,0
1,1,0,7800000,18100000,2,712,50500000.0,2.3205128205128207,2.7900552486187844,3900000.0,35956000000.0,1
2,0,0,9100000,24900000,16,822,70600000.0,2.7362637362637363,2.8353413654618476,3033333.3333333335,58033200000.0,1
3,1,0,1400000,3400000,6,540,6400000.0,2.4285714285714284,1.8823529411764706,350000.0,3456000000.0,0
2,1,1,800000,2300000,12,342,6100000.0,2.875,2.652173913043478,266666.6666666667,2086200000.0,0
5,1,0,6500000,13400000,18,787,40100000.0,2.0615384615384613,2.9925373134328357,1083333.3333333333,31558700000.0,1
4,1,0,8000000,27800000,16,331,51600000.0,3.475,1.856115107913669,1600000.0,17079600000.0,0
3,0,1,4200000,14600000,6,679,22900000.0,3.4761904761904763,1.5684931506849316,1050000.0,15549100000.0,1
1,1,1,4900000,19100000,14,677,38700000.0,3.8979591836734695,2.026178010471204,2450000.0,26199900000.0,1
3,0,0,5500000,20500000,12,634,36100000.0,3.727272727272727,1.7609756097560976,1375000.0,22887400000.0,1
1,0,1,9500000,19100000,16,662,60000000.0,2.0105263157894737,3.141361256544503,4750000.0,39720000000.0,1
4,1,0,7300000,25400000,16,502,33300000.0,3.4794520547945207,1.311023622047244,1460000.0,16716600000.0,0
2,1,0,8700000,24700000,10,435,43400000.0,2.839080459770115,1.757085020242915,2900000.0,18879000000.0,0
5,0,0,3800000,7600000,4,689,21500000.0,2.0,2.8289473684210527,633333.3333333334,14813500000.0,1
1,0,1,8400000,23000000,12,657,70300000.0,2.738095238095238,3.0565217391304347,4200000.0,46187100000.0,1
2,1,1,5100000,19700000,20,590,39500000.0,3.8627450980392157,2.00507614213198,1700000.0,23305000000.0,1
5,0,0,6700000,24500000,12,818,29300000.0,3.656716417910448,1.1959183673469387,1116666.6666666667,23967400000.0,1
2,0,0,4300000,10600000,18,431,18100000.0,2.4651162790697674,1.7075471698113207,1433333.3333333333,7801100000.0,0
5,1,1,9300000,30500000,18,841,72900000.0,3.2795698924731185,2.3901639344262295,1550000.0,61308900000.0,1
1,1,0,7400000,18400000,20,421,49200000.0,2.4864864864864864,2.6739130434782608,3700000.0,20713200000.0,0
4,0,1,5500000,18200000,16,797,34000000.0,3.309090909090909,1.8681318681318682,1100000.0,27098000000.0,1
2,0,0,8500000,18900000,18,478,77400000.0,2.223529411764706,4.095238095238095,2833333.3333333335,36997200000.0,0
3,0,1,9600000,30500000,18,669,42400000.0,3.1770833333333335,1.3901639344262295,2400000.0,28365600000.0,1
5,0,1,8800000,28900000,6,365,65100000.0,3.284090909090909,2.2525951557093427,1466666.6666666667,23761500000.0,0
3,0,1,3300000,7500000,20,586,20600000.0,2.272727272727273,2.7466666666666666,825000.0,12071600000.0,1
4,1,1,3900000,12300000,18,784,30400000.0,3.1538461538461537,2.4715447154471546,780000.0,23833600000.0,1
1,1,0,4100000,10300000,12,364,33300000.0,2.5121951219512195,3.233009708737864,2050000.0,12121200000.0,0
3,0,0,8300000,29100000,10,715,54000000.0,3.5060240963855422,1.8556701030927836,2075000.0,38610000000.0,1
0,0,1,2700000,10100000,20,693,9200000.0,3.740740740740741,0.9108910891089109,2700000.0,6375600000.0,0
4,1,0,5600000,12400000,4,777,25900000.0,2.2142857142857144,2.088709677419355,1120000.0,20124300000.0,1
0,1,0,1900000,5000000,12,312,14100000.0,2.6315789473684212,2.82,1900000.0,4399200000.0,0
4,0,1,500000,1500000,20,340,2800000.0,3.0,1.8666666666666667,100000.0,952000000.0,0
5,1,1,5300000,18600000,4,386,28500000.0,3.509433962264151,1.532258064516129,883333.3333333334,11001000000.0,1
5,0,0,7000000,18300000,4,418,59200000.0,2.6142857142857143,3.2349726775956285,1166666.6666666667,24745600000.0,0
3,0,1,5800000,16700000,16,735,31500000.0,2.8793103448275863,1.8862275449101797,1450000.0,23152500000.0,1
2,0,0,2600000,8400000,6,494,17900000.0,3.230769230769231,2.130952380952381,866666.6666666666,8842600000.0,0
2,0,0,1900000,6500000,18,671,9000000.0,3.4210526315789473,1.3846153846153846,633333.3333333334,6039000000.0,1
4,1,0,5700000,14800000,16,697,41300000.0,2.5964912280701755,2.7905405405405403,1140000.0,28786100000.0,1
0,1,0,9000000,33500000,8,801,67000000.0,3.7222222222222223,2.0,9000000.0,53667000000.0,1
2,0,0,8500000,29400000,12,576,57400000.0,3.458823529411765,1.9523809523809523,2833333.3333333335,33062400000.0,1
0,0,0,700000,1400000,14,639,5900000.0,2.0,4.214285714285714,700000.0,3770100000.0,1
4,1,0,3500000,8900000,4,470,17800000.0,2.5428571428571427,2.0,700000.0,8366000000.0,0
0,0,0,8800000,31200000,4,826,45300000.0,3.5454545454545454,1.4519230769230769,8800000.0,37417800000.0,1
2,0,1,9900000,21200000,16,363,70300000.0,2.1414141414141414,3.3160377358490565,3300000.0,25518900000.0,0
3,1,0,3600000,8600000,20,613,23300000.0,2.388888888888889,2.7093023255813953,900000.0,14282900000.0,1
3,0,1,3000000,8200000,16,713,25500000.0,2.7333333333333334,3.1097560975609757,750000.0,18181500000.0,1
2,1,0,6800000,21200000,16,439,48700000.0,3.1176470588235294,2.297169811320755,2266666.6666666665,21379300000.0,0
5,0,1,1100000,3800000,18,387,7900000.0,3.4545454545454546,2.0789473684210527,183333.33333333334,3057300000.0,0
1,0,1,8700000,28300000,8,402,72100000.0,3.2528735632183907,2.547703180212014,4350000.0,28984200000.0,0
4,1,1,2000000,8000000,6,837,14500000.0,4.0,1.8125,400000.0,12136500000.0,1
2,0,0,9800000,37600000,10,641,55100000.0,3.836734693877551,1.4654255319148937,3266666.6666666665,35319100000.0,1
4,1,0,5700000,21100000,18,489,23300000.0,3.7017543859649122,1.1042654028436019,1140000.0,11393700000.0,0
4,1,0,8800000,20700000,18,540,57500000.0,2.352272727272727,2.7777777777777777,1760000.0,31050000000.0,0
4,1,0,3800000,8900000,4,844,30400000.0,2.3421052631578947,3.4157303370786516,760000.0,25657600000.0,1
1,1,0,1700000,6400000,10,452,9700000.0,3.764705882352941,1.515625,850000.0,4384400000.0,0
2,1,0,1000000,2000000,10,366,6100000.0,2.0,3.05,333333.3333333333,2232600000.0,0
5,1,0,300000,1100000,2,300,1700000.0,3.6666666666666665,1.5454545454545454,50000.0,510000000.0,1
2,1,1,6600000,15000000,18,470,31200000.0,2.272727272727273,2.08,2200000.0,14664000000.0,0
2,0,0,8700000,25000000,20,861,53700000.0,2.8735632183908044,2.148,2900000.0,46235700000.0,1
4,1,0,9400000,29400000,12,562,84600000.0,3.127659574468085,2.877551020408163,1880000.0,47545200000.0,1
0,1,0,4400000,10800000,14,463,25700000.0,2.4545454545454546,2.3796296296296298,4400000.0,11899100000.0,0
4,0,0,400000,900000,12,478,2100000.0,2.25,2.3333333333333335,80000.0,1003800000.0,0
2,0,1,300000,1100000,2,702,1200000.0,3.6666666666666665,1.0909090909090908,100000.0,842400000.0,1
2,0,1,4300000,12900000,20,618,28800000.0,3.0,2.2325581395348837,1433333.3333333333,17798400000.0,1
4,1,0,1600000,4500000,12,633,8400000.0,2.8125,1.8666666666666667,320000.0,5317200000.0,1
5,0,1,6200000,23600000,10,331,61300000.0,3.806451612903226,2.597457627118644,1033333.3333333334,20290300000.0,0
3,0,1,4200000,9700000,16,841,29900000.0,2.3095238095238093,3.082474226804124,1050000.0,25145900000.0,1
4,0,1,9000000,18100000,12,764,49500000.0,2.011111111111111,2.734806629834254,1800000.0,37818000000.0,1
0,1,0,2700000,10600000,6,591,15700000.0,3.925925925925926,1.4811320754716981,2700000.0,9278700000.0,1
1,1,1,9700000,35900000,2,719,58500000.0,3.7010309278350517,1.6295264623955432,4850000.0,42061500000.0,1
2,1,0,3300000,6800000,14,317,19000000.0,2.0606060606060606,2.7941176470588234,1100000.0,6023000000.0,0
0,0,0,300000,1100000,8,778,2000000.0,3.6666666666666665,1.8181818181818181,300000.0,1556000000.0,1
3,1,1,7400000,18200000,14,302,31600000.0,2.4594594594594597,1.7362637362637363,1850000.0,9543200000.0,0
5,0,0,7100000,19700000,8,502,48000000.0,2.7746478873239435,2.436548223350254,1183333.3333333333,24096000000.0,0
5,0,1,7300000,22100000,18,879,59200000.0,3.0273972602739727,2.678733031674208,1216666.6666666667,52036800000.0,1
1,0,0,8400000,23400000,14,437,62700000.0,2.7857142857142856,2.6794871794871793,4200000.0,27399900000.0,0
0,0,1,3300000,10800000,12,797,17600000.0,3.272727272727273,1.6296296296296295,3300000.0,14027200000.0,1
4,0,1,5800000,23200000,18,456,50400000.0,4.0,2.1724137931034484,1160000.0,22982400000.0,0
0,0,0,600000,1600000,6,647,4300000.0,2.6666666666666665,2.6875,600000.0,2782100000.0,1
0,0,0,7200000,15800000,12,379,50000000.0,2.1944444444444446,3.1645569620253164,7200000.0,18950000000.0,0
1,0,1,9100000,32900000,2,717,33700000.0,3.6153846153846154,1.0243161094224924,4550000.0,24162900000.0,1
5,1,0,900000,2300000,16,545,3800000.0,2.5555555555555554,1.6521739130434783,150000.0,2071000000.0,0
2,1,0,800000,3200000,8,317,4200000.0,4.0,1.3125,266666.6666666667,1331400000.0,0
1,0,0,8500000,32900000,10,570,37300000.0,3.8705882352941177,1.1337386018237081,4250000.0,21261000000.0,1
0,0,1,9000000,18700000,18,865,59000000.0,2.077777777777778,3.1550802139037435,9000000.0,51035000000.0,1
3,1,0,7000000,19500000,14,719,50900000.0,2.7857142857142856,2.6102564102564103,1750000.0,36597100000.0,1
3,1,0,200000,600000,16,821,1100000.0,3.0,1.8333333333333333,50000.0,903100000.0,1
4,0,1,400000,800000,10,859,2400000.0,2.0,3.0,80000.0,2061600000.0,1
3,0,0,5100000,18200000,10,395,29900000.0,3.5686274509803924,1.6428571428571428,1275000.0,11810500000.0,0
2,0,1,700000,2600000,12,429,6400000.0,3.7142857142857144,2.4615384615384617,233333.33333333334,2745600000.0,0
3,1,0,400000,1200000,12,861,2100000.0,3.0,1.75,100000.0,1808100000.0,1
0,0,1,9500000,20800000,14,565,74300000.0,2.1894736842105265,3.5721153846153846,9500000.0,41979500000.0,1
5,1,0,8800000,22600000,10,357,39600000.0,2.5681818181818183,1.752212389380531,1466666.6666666667,14137200000.0,0
3,0,1,1800000,3600000,18,465,9100000.0,2.0,2.5277777777777777,450000.0,4231500000.0,0
4,0,1,6800000,13900000,8,479,56100000.0,2.0441176470588234,4.0359712230215825,1360000.0,26871900000.0,0
3,0,0,1500000,5500000,16,717,8600000.0,3.6666666666666665,1.5636363636363637,375000.0,6166200000.0,1
3,1,0,1600000,5500000,12,425,7700000.0,3.4375,1.4,400000.0,3272500000.0,0
2,0,0,4600000,16700000,2,786,26100000.0,3.630434782608696,1.562874251497006,1533333.3333333333,20514600000.0,1
5,0,1,2200000,6700000,6,382,15400000.0,3.0454545454545454,2.298507462686567,366666.6666666667,5882800000.0,0
3,0,1,2900000,8500000,12,564,13400000.0,2.9310344827586206,1.576470588235294,725000.0,7557600000.0,1
0,1,0,200000,700000,8,501,1500000.0,3.5,2.142857142857143,200000.0,751500000.0,0
2,0,1,2500000,9400000,10,727,23500000.0,3.76,2.5,833333.3333333334,17084500000.0,1
4,0,0,3600000,7500000,6,894,17800000.0,2.0833333333333335,2.3733333333333335,720000.0,15913200000.0,1
0,1,1,5500000,16700000,18,829,25500000.0,3.036363636363636,1.526946107784431,5500000.0,21139500000.0,1
4,0,0,6600000,17400000,20,506,45700000.0,2.6363636363636362,2.6264367816091956,1320000.0,23124200000.0,0
2,1,1,8600000,32100000,6,802,60400000.0,3.7325581395348837,1.881619937694704,2866666.6666666665,48440800000.0,1
5,0,0,600000,1500000,14,543,3600000.0,2.5,2.4,100000.0,1954800000.0,0
3,1,1,1400000,3200000,20,772,10000000.0,2.2857142857142856,3.125,350000.0,7720000000.0,1
3,1,0,4000000,11100000,12,572,24700000.0,2.775,2.225225225225225,1000000.0,14128400000.0,1
0,0,1,4900000,11900000,16,709,37800000.0,2.4285714285714284,3.176470588235294,4900000.0,26800200000.0,1
5,1,0,2000000,6200000,18,402,14400000.0,3.1,2.3225806451612905,333333.3333333333,5788800000.0,0
1,0,1,5200000,19300000,8,481,46800000.0,3.7115384615384617,2.4248704663212437,2600000.0,22510800000.0,0
5,1,1,8900000,28800000,6,772,47900000.0,3.235955056179775,1.6631944444444444,1483333.3333333333,36978800000.0,1
1,1,1,6500000,20600000,2,306,39100000.0,3.169230769230769,1.8980582524271845,3250000.0,11964600000.0,1
2,0,0,1300000,4500000,6,415,5000000.0,3.4615384615384617,1.1111111111111112,433333.3333333333,2075000000.0,0
3,0,0,9400000,35000000,16,548,63500000.0,3.723404255319149,1.8142857142857143,2350000.0,34798000000.0,0
5,0,0,5000000,11200000,8,701,28200000.0,2.24,2.517857142857143,833333.3333333334,19768200000.0,1
2,1,0,3000000,7700000,12,890,19500000.0,2.566666666666667,2.5324675324675323,1000000.0,17355000000.0,1
5,0,1,9900000,33300000,6,364,60100000.0,3.3636363636363638,1.8048048048048049,1650000.0,21876400000.0,0
5,1,1,700000,1300000,20,704,4400000.0,1.8571428571428572,3.3846153846153846,116666.66666666667,3097600000.0,1
3,1,1,4000000,10600000,10,318,19500000.0,2.65,1.8396226415094339,1000000.0,6201000000.0,0
5,0,0,3100000,9600000,2,761,22200000.0,3.096774193548387,2.3125,516666.6666666667,16894200000.0,1
4,0,0,4500000,15100000,6,693,29000000.0,3.3555555555555556,1.9205298013245033,900000.0,20097000000.0,1
3,0,0,9700000,20600000,16,524,68800000.0,2.1237113402061856,3.3398058252427183,2425000.0,36051200000.0,0
2,0,1,2000000,5300000,10,681,13500000.0,2.65,2.547169811320755,666666.6666666666,9193500000.0,1
2,1,1,8100000,22300000,18,737,69200000.0,2.753086419753086,3.103139013452915,2700000.0,51000400000.0,1
0,0,0,5700000,15900000,16,638,30400000.0,2.789473684210526,1.9119496855345912,5700000.0,19395200000.0,1
4,0,0,5800000,12800000,2,656,24300000.0,2.206896551724138,1.8984375,1160000.0,15940800000.0,1
1,1,0,1800000,6500000,6,540,11800000.0,3.611111111111111,1.8153846153846154,900000.0,6372000000.0,0
4,0,1,9100000,35200000,6,341,32600000.0,3.868131868131868,0.9261363636363636,1820000.0,11116600000.0,0
0,0,1,4800000,17500000,2,371,40700000.0,3.6458333333333335,2.3257142857142856,4800000.0,15099700000.0,1
3,0,1,3800000,10500000,12,886,21700000.0,2.763157894736842,2.066666666666667,950000.0,19226200000.0,1
0,0,0,1900000,4100000,18,801,7200000.0,2.1578947368421053,1.7560975609756098,1900000.0,5767200000.0,1
3,0,1,3600000,9500000,16,748,22400000.0,2.638888888888889,2.357894736842105,900000.0,16755200000.0,1
2,0,1,7400000,28200000,8,376,49500000.0,3.810810810810811,1.7553191489361701,2466666.6666666665,18612000000.0,0
4,0,1,6600000,14300000,8,371,46200000.0,2.1666666666666665,3.230769230769231,1320000.0,17140200000.0,0
2,1,0,1800000,5300000,6,826,13000000.0,2.9444444444444446,2.452830188679245,600000.0,10738000000.0,1
4,0,0,9200000,27200000,12,873,51500000.0,2.9565217391304346,1.8933823529411764,1840000.0,44959500000.0,1
5,0,1,2400000,8600000,8,309,9600000.0,3.5833333333333335,1.1162790697674418,400000.0,2966400000.0,0
4,0,0,5600000,13300000,20,869,37300000.0,2.375,2.8045112781954886,1120000.0,32413700000.0,1
5,1,0,3800000,13900000,12,534,18600000.0,3.6578947368421053,1.3381294964028776,633333.3333333334,9932400000.0,0
3,0,1,4500000,17900000,6,787,31900000.0,3.977777777777778,1.782122905027933,1125000.0,25105300000.0,1
0,1,1,900000,2200000,16,566,3400000.0,2.4444444444444446,1.5454545454545454,900000.0,1924400000.0,1
0,0,0,2800000,9900000,8,742,14600000.0,3.5357142857142856,1.4747474747474747,2800000.0,10833200000.0,1
2,0,0,7500000,23100000,4,824,58800000.0,3.08,2.5454545454545454,2500000.0,48451200000.0,1
4,1,0,1400000,3100000,14,575,11400000.0,2.2142857142857144,3.6774193548387095,280000.0,6555000000.0,1
2,1,1,3800000,10900000,10,766,17400000.0,2.8684210526315788,1.5963302752293578,1266666.6666666667,13328400000.0,1
1,0,1,1700000,5000000,10,888,10100000.0,2.9411764705882355,2.02,850000.0,8968800000.0,1
3,1,1,9000000,30400000,6,638,63900000.0,3.3777777777777778,2.101973684210526,2250000.0,40768200000.0,1
5,0,1,7300000,23300000,6,622,55600000.0,3.191780821917808,2.3862660944206007,1216666.6666666667,34583200000.0,1
1,0,0,7400000,19800000,18,458,50500000.0,2.675675675675676,2.5505050505050506,3700000.0,23129000000.0,0
1,0,0,9000000,28200000,16,327,39200000.0,3.1333333333333333,1.3900709219858156,4500000.0,12818400000.0,0
0,0,0,3000000,6500000,2,612,20600000.0,2.1666666666666665,3.169230769230769,3000000.0,12607200000.0,1
1,1,0,800000,2900000,8,682,6900000.0,3.625,2.3793103448275863,400000.0,4705800000.0,1
2,1,0,4800000,13200000,2,583,34200000.0,2.75,2.590909090909091,1600000.0,19938600000.0,1
5,0,0,6400000,18300000,8,697,39700000.0,2.859375,2.169398907103825,1066666.6666666667,27670900000.0,1
3,1,0,9200000,27100000,12,306,54900000.0,2.9456521739130435,2.025830258302583,2300000.0,16799400000.0,0
4,0,1,400000,1500000,2,669,7700000.0,3.75,5.133333333333334,80000.0,5151300000.0,1
2,0,0,2800000,6000000,18,816,21900000.0,2.142857142857143,3.65,933333.3333333334,17870400000.0,1
4,0,1,8500000,28900000,20,455,52900000.0,3.4,1.8304498269896194,1700000.0,24069500000.0,0
3,1,1,4700000,16400000,10,318,40000000.0,3.4893617021276597,2.4390243902439024,1175000.0,12720000000.0,0
4,0,1,9800000,21200000,20,355,77100000.0,2.163265306122449,3.6367924528301887,1960000.0,27370500000.0,0
2,0,1,3800000,8900000,16,389,20200000.0,2.3421052631578947,2.269662921348315,1266666.6666666667,7857800000.0,0
2,1,0,500000,1500000,2,888,3900000.0,3.0,2.6,166666.66666666666,3463200000.0,1
2,1,1,6900000,15600000,6,352,50900000.0,2.260869565217391,3.2628205128205128,2300000.0,17916800000.0,0
4,0,1,9600000,30100000,12,870,50800000.0,3.1354166666666665,1.6877076411960132,1920000.0,44196000000.0,1
3,0,0,2900000,6500000,18,827,22500000.0,2.2413793103448274,3.4615384615384617,725000.0,18607500000.0,1
2,1,0,9800000,20900000,12,768,65600000.0,2.13265306122449,3.138755980861244,3266666.6666666665,50380800000.0,1
0,1,0,7100000,15400000,18,707,46500000.0,2.1690140845070425,3.0194805194805197,7100000.0,32875500000.0,1
1,0,1,7700000,19100000,10,355,44700000.0,2.4805194805194803,2.3403141361256545,3850000.0,15868500000.0,0
3,1,0,1400000,3300000,2,652,7600000.0,2.357142857142857,2.303030303030303,350000.0,4955200000.0,1
3,1,0,7800000,15900000,2,665,47900000.0,2.0384615384615383,3.0125786163522013,1950000.0,31853500000.0,1
5,0,1,1700000,6000000,18,420,8100000.0,3.5294117647058822,1.35,283333.3333333333,3402000000.0,0
2,0,0,8500000,32700000,18,471,68400000.0,3.847058823529412,2.091743119266055,2833333.3333333335,32216400000.0,0
5,0,0,1900000,7500000,20,715,17200000.0,3.9473684210526314,2.2933333333333334,316666.6666666667,12298000000.0,1
2,0,1,6700000,15200000,10,689,30000000.0,2.2686567164179103,1.9736842105263157,2233333.3333333335,20670000000.0,1
3,1,1,6900000,16400000,4,787,47400000.0,2.3768115942028984,2.8902439024390243,1725000.0,37303800000.0,1
