no_of_dependents,education,self_employed,income_annum,loan_term,cibil_score,total_assets,income_per_dependent,asset_coverage_ratio,wealth_cibil_score,loan_amount
2,1,0,9600000,12,778,50700000.0,3200000.0,1.6956521739130435,39444600000.0,29900000
0,0,1,4100000,8,417,17000000.0,4100000.0,1.3934426229508197,7089000000.0,12200000
3,1,0,9100000,20,506,57700000.0,2275000.0,1.9427609427609427,29196200000.0,29700000
3,1,0,8200000,8,467,52700000.0,2050000.0,1.716612377850163,24610900000.0,30700000
5,0,1,9800000,20,382,55000000.0,1633333.3333333333,2.272727272727273,21010000000.0,24200000
0,1,1,4800000,10,319,33900000.0,4800000.0,2.511111111111111,10814100000.0,13500000
5,1,0,8700000,4,678,70800000.0,1450000.0,2.1454545454545455,48002400000.0,33000000
2,1,1,5700000,20,382,36700000.0,1900000.0,2.4466666666666668,14019400000.0,15000000
0,1,1,800000,20,782,5500000.0,800000.0,2.5,4301000000.0,2200000
5,0,0,1100000,10,388,9500000.0,183333.33333333334,2.2093023255813953,3686000000.0,4300000
4,1,1,2900000,2,547,25400000.0,580000.0,2.267857142857143,13893800000.0,11200000
2,0,1,6700000,18,538,47900000.0,2233333.3333333335,2.1101321585903086,25770200000.0,22700000
3,0,1,5000000,16,311,34900000.0,1250000.0,3.0086206896551726,10853900000.0,11600000
2,1,1,9100000,14,679,53300000.0,3033333.3333333335,1.692063492063492,36190700000.0,31500000
1,0,0,1900000,6,469,10900000.0,950000.0,1.472972972972973,5112100000.0,7400000
5,0,0,4700000,10,794,30400000.0,783333.3333333334,2.8411214953271027,24137600000.0,10700000
2,1,1,500000,4,663,3400000.0,166666.66666666666,2.125,2254200000.0,1600000
4,0,1,2900000,14,780,16700000.0,580000.0,1.7765957446808511,13026000000.0,9400000
2,1,0,2700000,10,736,10500000.0,900000.0,1.0194174757281553,7728000000.0,10300000
5,1,0,6300000,12,652,43200000.0,1050000.0,2.958904109589041,28166400000.0,14600000
2,1,0,5000000,12,315,35200000.0,1666666.6666666667,1.8144329896907216,11088000000.0,19400000
4,1,0,5800000,16,530,42700000.0,1160000.0,3.05,22631000000.0,14000000
4,1,1,6500000,18,311,42800000.0,1300000.0,1.6653696498054475,13310800000.0,25700000
0,0,1,500000,2,551,2900000.0,500000.0,2.0714285714285716,1597900000.0,1400000
0,0,0,4900000,16,324,25800000.0,4900000.0,2.63265306122449,8359200000.0,9800000
5,0,0,3100000,20,514,20200000.0,516666.6666666667,2.126315789473684,10382800000.0,9500000
4,1,0,8200000,12,696,54600000.0,1640000.0,1.9430604982206405,38001600000.0,28100000
4,0,1,2400000,4,662,16600000.0,480000.0,2.9642857142857144,10989200000.0,5600000
5,0,1,7000000,6,336,51400000.0,1166666.6666666667,2.1416666666666666,17270400000.0,24000000
3,0,1,9000000,10,850,75900000.0,2250000.0,2.4095238095238094,64515000000.0,31500000
2,0,0,9800000,12,313,60200000.0,3266666.6666666665,2.3794466403162056,18842600000.0,25300000
2,1,0,5700000,6,363,37000000.0,1900000.0,3.0833333333333335,13431000000.0,12000000
1,0,1,800000,10,436,4100000.0,400000.0,2.5625,1787600000.0,1600000
5,0,1,8400000,2,830,33000000.0,1400000.0,1.5,27390000000.0,22000000
3,1,0,4900000,8,612,35700000.0,1225000.0,3.0,21848400000.0,11900000
2,1,1,1700000,8,691,12400000.0,566666.6666666666,3.6470588235294117,8568400000.0,3400000
3,0,0,1600000,18,636,10800000.0,400000.0,1.7419354838709677,6868800000.0,6200000
5,1,1,8000000,6,348,30500000.0,1333333.3333333333,1.1213235294117647,10614000000.0,27200000
5,1,0,3600000,16,830,21200000.0,600000.0,2.7532467532467533,17596000000.0,7700000
3,0,1,1500000,6,352,6800000.0,375000.0,1.3333333333333333,2393600000.0,5100000
1,1,0,7800000,2,712,50500000.0,3900000.0,2.7900552486187844,35956000000.0,18100000
2,0,0,9100000,16,822,70600000.0,3033333.3333333335,2.8353413654618476,58033200000.0,24900000
3,1,0,1400000,6,540,6400000.0,350000.0,1.8823529411764706,3456000000.0,3400000
2,1,1,800000,12,342,6100000.0,266666.6666666667,2.652173913043478,2086200000.0,2300000
5,1,0,6500000,18,787,40100000.0,1083333.3333333333,2.9925373134328357,31558700000.0,13400000
4,1,0,8000000,16,331,51600000.0,1600000.0,1.856115107913669,17079600000.0,27800000
3,0,1,4200000,6,679,22900000.0,1050000.0,1.5684931506849316,15549100000.0,14600000
1,1,1,4900000,14,677,38700000.0,2450000.0,2.026178010471204,26199900000.0,19100000
3,0,0,5500000,12,634,36100000.0,1375000.0,1.7609756097560976,22887400000.0,20500000
1,0,1,9500000,16,662,60000000.0,4750000.0,3.141361256544503,39720000000.0,19100000
4,1,0,7300000,16,502,33300000.0,1460000.0,1.311023622047244,16716600000.0,25400000
2,1,0,8700000,10,435,43400000.0,2900000.0,1.757085020242915,18879000000.0,24700000
5,0,0,3800000,4,689,21500000.0,633333.3333333334,2.8289473684210527,14813500000.0,7600000
1,0,1,8400000,12,657,70300000.0,4200000.0,3.0565217391304347,46187100000.0,23000000
2,1,1,5100000,20,590,39500000.0,1700000.0,2.00507614213198,23305000000.0,19700000
5,0,0,6700000,12,818,29300000.0,1116666.6666666667,1.1959183673469387,23967400000.0,24500000
2,0,0,4300000,18,431,18100000.0,1433333.3333333333,1.7075471698113207,7801100000.0,10600000
5,1,1,9300000,18,841,72900000.0,1550000.0,2.3901639344262295,61308900000.0,30500000
1,1,0,7400000,20,421,49200000.0,3700000.0,2.6739130434782608,20713200000.0,18400000
4,0,1,5500000,16,797,34000000.0,1100000.0,1.8681318681318682,27098000000.0,18200000
2,0,0,8500000,18,478,77400000.0,2833333.3333333335,4.095238095238095,36997200000.0,18900000
3,0,1,9600000,18,669,42400000.0,2400000.0,1.3901639344262295,28365600000.0,30500000
5,0,1,8800000,6,365,65100000.0,1466666.6666666667,2.2525951557093427,23761500000.0,28900000
3,0,1,3300000,20,586,20600000.0,825000.0,2.7466666666666666,12071600000.0,7500000
4,1,1,3900000,18,784,30400000.0,780000.0,2.4715447154471546,23833600000.0,12300000
1,1,0,4100000,12,364,33300000.0,2050000.0,3.233009708737864,12121200000.0,10300000
3,0,0,8300000,10,715,54000000.0,2075000.0,1.8556701030927836,38610000000.0,29100000
0,0,1,2700000,20,693,9200000.0,2700000.0,0.9108910891089109,6375600000.0,10100000
4,1,0,5600000,4,777,25900000.0,1120000.0,2.088709677419355,20124300000.0,12400000
0,1,0,1900000,12,312,14100000.0,1900000.0,2.82,4399200000.0,5000000
4,0,1,500000,20,340,2800000.0,100000.0,1.8666666666666667,952000000.0,1500000
5,1,1,5300000,4,386,28500000.0,883333.3333333334,1.532258064516129,11001000000.0,18600000
5,0,0,7000000,4,418,59200000.0,1166666.6666666667,3.2349726775956285,24745600000.0,18300000
3,0,1,5800000,16,735,31500000.0,1450000.0,1.8862275449101797,23152500000.0,16700000
2,0,0,2600000,6,494,17900000.0,866666.6666666666,2.130952380952381,8842600000.0,8400000
2,0,0,1900000,18,671,9000000.0,633333.3333333334,1.3846153846153846,6039000000.0,6500000
4,1,0,5700000,16,697,41300000.0,1140000.0,2.7905405405405403,28786100000.0,14800000
0,1,0,9000000,8,801,67000000.0,9000000.0,2.0,53667000000.0,33500000
2,0,0,8500000,12,576,57400000.0,2833333.3333333335,1.9523809523809523,33062400000.0,29400000
0,0,0,700000,14,639,5900000.0,700000.0,4.214285714285714,3770100000.0,1400000
4,1,0,3500000,4,470,17800000.0,700000.0,2.0,8366000000.0,8900000
0,0,0,8800000,4,826,45300000.0,8800000.0,1.4519230769230769,37417800000.0,31200000
2,0,1,9900000,16,363,70300000.0,3300000.0,3.3160377358490565,25518900000.0,21200000
3,1,0,3600000,20,613,23300000.0,900000.0,2.7093023255813953,14282900000.0,8600000
3,0,1,3000000,16,713,25500000.0,750000.0,3.1097560975609757,18181500000.0,8200000
2,1,0,6800000,16,439,48700000.0,2266666.6666666665,2.297169811320755,21379300000.0,21200000
5,0,1,1100000,18,387,7900000.0,183333.33333333334,2.0789473684210527,3057300000.0,3800000
1,0,1,8700000,8,402,72100000.0,4350000.0,2.547703180212014,28984200000.0,28300000
4,1,1,2000000,6,837,14500000.0,400000.0,1.8125,12136500000.0,8000000
2,0,0,9800000,10,641,55100000.0,3266666.6666666665,1.4654255319148937,35319100000.0,37600000
4,1,0,5700000,18,489,23300000.0,1140000.0,1.1042654028436019,11393700000.0,21100000
4,1,0,8800000,18,540,57500000.0,1760000.0,2.7777777777777777,31050000000.0,20700000
4,1,0,3800000,4,844,30400000.0,760000.0,3.4157303370786516,25657600000.0,8900000
1,1,0,1700000,10,452,9700000.0,850000.0,1.515625,4384400000.0,6400000
2,1,0,1000000,10,366,6100000.0,333333.3333333333,3.05,2232600000.0,2000000
5,1,0,300000,2,300,1700000.0,50000.0,1.5454545454545454,510000000.0,1100000
2,1,1,6600000,18,470,31200000.0,2200000.0,2.08,14664000000.0,15000000
2,0,0,8700000,20,861,53700000.0,2900000.0,2.148,46235700000.0,25000000
4,1,0,9400000,12,562,84600000.0,1880000.0,2.877551020408163,47545200000.0,29400000
0,1,0,4400000,14,463,25700000.0,4400000.0,2.3796296296296298,11899100000.0,10800000
4,0,0,400000,12,478,2100000.0,80000.0,2.3333333333333335,1003800000.0,900000
2,0,1,300000,2,702,1200000.0,100000.0,1.0909090909090908,842400000.0,1100000
2,0,1,4300000,20,618,28800000.0,1433333.3333333333,2.2325581395348837,17798400000.0,12900000
4,1,0,1600000,12,633,8400000.0,320000.0,1.8666666666666667,5317200000.0,4500000
5,0,1,6200000,10,331,61300000.0,1033333.3333333334,2.597457627118644,20290300000.0,23600000
3,0,1,4200000,16,841,29900000.0,1050000.0,3.082474226804124,25145900000.0,9700000
4,0,1,9000000,12,764,49500000.0,1800000.0,2.734806629834254,37818000000.0,18100000
0,1,0,2700000,6,591,15700000.0,2700000.0,1.4811320754716981,9278700000.0,10600000
1,1,1,9700000,2,719,58500000.0,4850000.0,1.6295264623955432,42061500000.0,35900000
2,1,0,3300000,14,317,19000000.0,1100000.0,2.7941176470588234,6023000000.0,6800000
0,0,0,300000,8,778,2000000.0,300000.0,1.8181818181818181,1556000000.0,1100000
3,1,1,7400000,14,302,31600000.0,1850000.0,1.7362637362637363,9543200000.0,18200000
5,0,0,7100000,8,502,48000000.0,1183333.3333333333,2.436548223350254,24096000000.0,19700000
5,0,1,7300000,18,879,59200000.0,1216666.6666666667,2.678733031674208,52036800000.0,22100000
1,0,0,8400000,14,437,62700000.0,4200000.0,2.6794871794871793,27399900000.0,23400000
0,0,1,3300000,12,797,17600000.0,3300000.0,1.6296296296296295,14027200000.0,10800000
4,0,1,5800000,18,456,50400000.0,1160000.0,2.1724137931034484,22982400000.0,23200000
